"BuildingID","Date","Time","TargetTemp","ActualTemp","System","SystemAge","BuildingMgr","BuildingAge","product","Country"
1,"6/13/13","18:13:19",67,68,2,14,"M1",25,"AC1000","USA"
1,"6/14/13","1:13:20",70,68,6,1,"M1",25,"AC1000","USA"
1,"6/7/13","0:33:07",68,72,18,8,"M1",25,"AC1000","USA"
1,"6/18/13","17:00:01",68,61,10,25,"M1",25,"AC1000","USA"
1,"6/12/13","17:13:19",67,65,20,9,"M1",25,"AC1000","USA"
1,"6/15/13","20:13:19",67,66,8,18,"M1",25,"AC1000","USA"
1,"6/17/13","22:13:19",70,77,14,16,"M1",25,"AC1000","USA"
1,"6/18/13","23:13:19",66,68,20,30,"M1",25,"AC1000","USA"
1,"6/9/13","20:43:51",66,57,14,15,"M1",25,"AC1000","USA"
1,"6/25/13","12:13:20",69,62,1,3,"M1",25,"AC1000","USA"
1,"6/20/13","13:33:07",68,80,6,14,"M1",25,"AC1000","USA"
1,"6/24/13","17:33:07",65,57,6,19,"M1",25,"AC1000","USA"
1,"6/17/13","16:00:01",65,59,19,10,"M1",25,"AC1000","USA"
1,"6/8/13","13:13:19",70,72,20,19,"M1",25,"AC1000","USA"
1,"6/9/13","14:13:19",69,57,7,1,"M1",25,"AC1000","USA"
1,"6/23/13","4:43:51",70,80,12,24,"M1",25,"AC1000","USA"
1,"6/6/13","17:43:51",70,71,8,4,"M1",25,"AC1000","USA"
1,"6/14/13","1:13:20",69,73,14,3,"M1",25,"AC1000","USA"
1,"6/1/13","18:13:20",65,66,11,30,"M1",25,"AC1000","USA"
1,"6/3/13","20:13:20",67,69,13,2,"M1",25,"AC1000","USA"
1,"6/13/13","6:33:07",68,62,17,8,"M1",25,"AC1000","USA"
1,"6/22/13","15:33:07",69,67,8,7,"M1",25,"AC1000","USA"
1,"6/14/13","13:00:01",68,62,14,30,"M1",25,"AC1000","USA"
1,"6/19/13","0:43:51",65,58,3,20,"M1",25,"AC1000","USA"
1,"6/6/13","17:43:51",67,55,8,20,"M1",25,"AC1000","USA"
1,"6/17/13","4:13:20",68,69,9,29,"M1",25,"AC1000","USA"
1,"6/1/13","18:13:20",68,64,13,10,"M1",25,"AC1000","USA"
1,"6/24/13","23:45:56",70,77,13,28,"M1",25,"AC1000","USA"
1,"6/7/13","5:13:19",68,64,6,6,"M1",25,"AC1000","USA"
1,"6/6/13","16:13:20",65,76,12,28,"M1",25,"AC1000","USA"
1,"6/10/13","20:13:20",68,65,11,1,"M1",25,"AC1000","USA"
1,"6/18/13","10:00:01",67,64,5,3,"M1",25,"AC1000","USA"
1,"6/16/13","14:13:19",67,69,2,17,"M1",25,"AC1000","USA"
1,"6/18/13","16:13:19",66,79,5,14,"M1",25,"AC1000","USA"
